id,collegi,provincia,partito politico 
085,Caluso,Torino,monarchici
086,Camerino,Macerata,monarchici
087,Campagna,Salerno,monarchici
088,Campi Bisenzio,Firenze,socialisti
089,Campi Salentina,Lecce,monarchici
090,Campobasso,Campobasso,radicali
091,Canicattì,Girgenti,socialisti
092,Cantù,Como,monarchici
093,Capaccio,Salerno,monarchici
094,Capannori,Lucca,monarchici
095,Capriata d’Orba,Alessandria,monarchici
096,Caprino Bergamasco,Bergamo,monarchici
097,Capua,Caserta,monarchici
098,Carmagnola,Torino,monarchici
099,Carpi,Modena,socialisti
100,Casale Monferrato,Alessandria,monarchici
101,Casalmaggiore,Cremona,monarchici
102,Caserta,Caserta,monarchici
103,Casoria,Napoli,monarchici
104,Cassano al Jonio,Cosenza,monarchici
105,Cassino,Caserta,monarchici
106,Castelfranco Veneto,Treviso,clericali
107,Castellammare di Stabia,Napoli,repubblicani
108,Castellaneta,Lecce,radicali
109,Castel Maggiore,Bologna,socialisti
110,Castelnovo ne' Monti,Reggio nell’Emilia,radicali
111,Castelnuovo di Garfagnana,Massa e Carrara,monarchici
112,Castel San Giovanni,Piacenza,socialisti
113,Castelvetrano,Trapani,socialisti
114,Castiglione delle Stiviere,Mantova,monarchici
115,Castrogiovanni,Caltanissetta,repubblicani
116,Castroreale,Messina,monarchici
117,Castrovillari,Cosenza,repubblicani
118,Catania I,Catania,repubblicani
119,Catania II,Catania,socialisti
120,Catanzaro,Catanzaro,monarchici
121,Caulonia,Reggio di Calabria,monarchici
122,Ceccano,Roma,clericali
123,Cefalù,Palermo,socialisti
124,Cento,Ferrara,socialisti
125,Cerignola,Foggia,monarchici
126,Cerreto Sannita,Benevento,monarchici
127,Cesena,Forlì,repubblicani
128,Ceva,Cuneo,clericali
129,Cherasco,Cuneo,monarchici
130,Chiaravalle Centrale,Catanzaro,monarchici
131,Chiari,Brescia,monarchici
132,Chiaromonte,Potenza,monarchici
133,Chiavari,Genova,monarchici
134,Chieti,Chieti,socialisti
135,Chioggia,Venezia,monarchici
136,Chivasco,Torino,monarchici
137,Ciriè,Torino,monarchici
138,Cittadella,Padova,clericali
139,Città di Castello,Perugia,radicali
140,Cittaducale,Aquila degli Abruzzi,monarchici
141,Cittanova,Reggio di Calabria,socialisti
142,Città Sant'Angelo,Teramo,radicali
143,Cividale del Friuli,Udine,monarchici
144,Civitavecchia,Roma,monarchici
145,Clusone,Bergamo,clericali
146,Codogne,Milano,monarchici
147,Colle di Val d’Elsa,Siena,monarchici
148,Cologna Veneta,Verona,monarchici
149,Comacchio,Ferrara,socialisti
150,Comiso,Siracusa,monarchici
151,Como,Como,monarchici
152,Conegliano,Treviso,monarchici
153,Conversano,Bari delle Puglie,monarchici
154,Corato,Bari delle Puglie,monarchici
155,Corleone,Palermo,monarchici
156,Corleto Perticara,Potenza,radicali
157,Correggio,Reggio nell’Emilia,monarchici
158,Corte Olona,Pavia,repubblicani
159,Cortona,Arezzo,radicali
160,Cosenza,Cosenza,radicali
161,Cossato,Novara,socialisti
162,Cotrone,Catanzaro,monarchici
163,Crema,Cremona,monarchici
164,Cremona,Cremona,radicali
165,Crescentino,Novara,socialisti
166,Cuggione,Milano,monarchici
167,Cuneo,Cuneo,monarchici
168,Cuorgnè,Torino,monarchici
169,Desio,Milano,monarchici
170,Domodossola,Novara,monarchici
171,Dronero,Cuneo,monarchici
172,Empoli,Firenze,socialisti
173,Erba Incino,Como,monarchici
174,Este,Padova,clericali
175,Fabriano,Ancona,monarchici
176,Faenza,Ravenna,clericali
177,Fano,Pesaro e Urbino,monarchici
178,Feltre,Belluno,monarchici
179,Fermo,Ascoli Piceno,radicali
180,Ferrara,Ferrara,radicali
181,Fiorenzuola d'Arda,Piacenza,monarchici
182,Firenze I,Firenze,socialisti
183,Firenze II,Firenze,monarchici
184,Firenze III,Firenze,socialisti
185,Firenze IV,Firenze,socialisti
186,Foggia,Foggia,radicali
187,Foligno,Perugia,monarchici
188,Forlì,Forlì,repubblicani
189,Fossano,Cuneo,monarchici
190,Francavilla di Sicilia,Messina,radicali
191,Frosinone,Roma,monarchici
192,Gaeta,Caserta,monarchici
193,Gallarate,Milano,monarchici
194,Gallipoli,Lecce,socialisti
195,Gavirate,Como,monarchici
196,Gemona,Udine,monarchici
197,Genova I,Genova,socialisti
198,Genova II,Genova,monarchici
199,Genova III,Genova,monarchici
200,Gerace Marina,Reggio di Calabria,radicali
201,Gessopalena,Chieti,monarchici
202,Giarre,Catania,radicali
203,Gioia dal Colle,Bari delle Puglie,monarchici
204,Girventi,Girgenti,clericali
205,Giulianova,Teramo,monarchici
206,Gonzaga,Mantova,socialisti
207,Gorgonzola,Milano,monarchici
208,Grosseto,Grosseto,socialisti
209,Guastalla,Reggio nell’Emilia,socialisti
210,Iglesias,Cagliari,socialisti
211,Imola,Bologna,socialisti
212,Iseo,Brescia,monarchici
213,Isernia,Campobasso,monarchici
214,Isili,Cagliari,monarchici
215,Isola della Scala,Verona,socialisti
216,Ivrea,Torino,radicali
217,Jesi,Ancona,socialisti
218,Lacedonia,Avellino,monarchici
219,Lagonegro,Potenza,monarchici
220,Lanciano,Chieti,radicali
221,Langhirano,Parma,clericali
222,Lanusei,Cagliari,monarchici
223,Lanzo Torinese,Torino,monarchici
224,Lari,Pisa,socialisti
225,Larino,Campobasso,radicali
226,Lecce,Lecce,radicali
227,Lecco,Como,radicali
228,Legnago,Verona,monarchici
229,Lendinara,Rovigo,socialisti
230,Leno,Brescia,monarchici
231,Levanto,Genova,monarchici
232,Licata,Girgenti,monarchici
233,Livorno I,Livorno,monarchici
234,Livorno II,Livorno,monarchici
235,Lodi,Milano,monarchici
236,Lonato,Brescia,monarchici
